go_id	name
GO:0004141	dethiobiotin synthase activity
GO:0004143	ATP-dependent diacylglycerol kinase activity
GO:0004148	dihydrolipoyl dehydrogenase (NADH) activity
GO:0004150	dihydroneopterin aldolase activity
GO:0004151	dihydroorotase activity
GO:0004156	dihydropteroate synthase activity
GO:0004160	dihydroxy-acid dehydratase activity
GO:0004161	dimethylallyltranstransferase activity
GO:0004167	dopachrome isomerase activity
GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity
GO:0004175	endopeptidase activity
GO:0004176	ATP-dependent peptidase activity
GO:0004177	aminopeptidase activity
GO:0004180	carboxypeptidase activity
GO:0004181	metallocarboxypeptidase activity
GO:0004185	serine-type carboxypeptidase activity
GO:0004190	aspartic-type endopeptidase activity
GO:0004197	cysteine-type endopeptidase activity
GO:0004222	metalloendopeptidase activity
GO:0004239	initiator methionyl aminopeptidase activity
GO:0004252	serine-type endopeptidase activity
GO:0004301	epoxide hydrolase activity
GO:0004309	exopolyphosphatase activity
GO:0004311	geranylgeranyl diphosphate synthase activity
GO:0004312	fatty acid synthase activity
GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GO:0004318	enoyl-[acyl-carrier-protein] reductase (NADH) activity
GO:0004322	ferroxidase activity
GO:0004324	ferredoxin-NADP+ reductase activity
GO:0004325	protoporphyrin ferrochelatase activity
GO:0004326	tetrahydrofolylpolyglutamate synthase activity
GO:0004328	formamidase activity
GO:0004332	fructose-bisphosphate aldolase activity
GO:0004333	fumarate hydratase activity
GO:0004334	fumarylacetoacetase activity
GO:0004340	glucokinase activity
GO:0004341	gluconolactonase activity
GO:0004342	glucosamine-6-phosphate deaminase activity
GO:0004345	glucose-6-phosphate dehydrogenase activity
GO:0004347	glucose-6-phosphate isomerase activity
GO:0004348	glucosylceramidase activity
GO:0004349	glutamate 5-kinase activity
GO:0004350	glutamate-5-semialdehyde dehydrogenase activity
GO:0004352	L-glutamate dehydrogenase (NAD+) activity
GO:0004355	glutamate synthase (NADPH) activity
GO:0004356	glutamine synthetase activity
GO:0004357	glutamate-cysteine ligase activity
GO:0004358	L-glutamate N-acetyltransferase activity, acting on acetyl-L-ornithine as donor
GO:0004359	glutaminase activity
GO:0004360	L-glutamine:D-fructose-6-phosphate transaminase (isomerizing) activity
GO:0004362	glutathione-disulfide reductase (NADPH) activity
GO:0004363	glutathione synthase activity
GO:0004364	glutathione transferase activity
GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GO:0004370	glycerol kinase activity
GO:0004371	glycerone kinase activity
GO:0004372	glycine hydroxymethyltransferase activity
GO:0004373	alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity
GO:0004385	GMP kinase activity
GO:0004386	helicase activity
GO:0004392	heme oxygenase (decyclizing) activity
GO:0004398	histidine decarboxylase activity
GO:0004399	histidinol dehydrogenase activity
GO:0004400	L-histidinol-phosphate:2-oxoglutarate transaminase activity
GO:0004407	histone deacetylase activity
GO:0004410	homocitrate synthase activity
GO:0004411	homogentisate 1,2-dioxygenase activity
GO:0004413	homoserine kinase activity
GO:0004416	hydroxyacylglutathione hydrolase activity
GO:0004418	hydroxymethylbilane synthase activity
GO:0004424	imidazoleglycerol-phosphate dehydratase activity
GO:0004425	indole-3-glycerol-phosphate synthase activity
GO:0004427	inorganic diphosphate phosphatase activity
GO:0004450	isocitrate dehydrogenase (NADP+) activity
GO:0004452	isopentenyl-diphosphate delta-isomerase activity
GO:0004455	ketol-acid reductoisomerase activity
GO:0004458	D-lactate dehydrogenase (cytochrome) activity
GO:0004459	L-lactate dehydrogenase (NAD+) activity
GO:0004462	lactoylglutathione lyase activity
GO:0004466	long-chain fatty acyl-CoA dehydrogenase activity
GO:0004467	long-chain fatty acid-CoA ligase activity
GO:0004470	malic enzyme activity
GO:0004475	mannose-1-phosphate guanylyltransferase (GTP) activity
GO:0004477	methenyltetrahydrofolate cyclohydrolase activity
GO:0004478	methionine adenosyltransferase activity
GO:0004479	methionyl-tRNA formyltransferase activity
GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity
GO:0004493	methylmalonyl-CoA epimerase activity
GO:0004497	monooxygenase activity
GO:0004499	N,N-dimethylaniline monooxygenase activity
GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0004515	nicotinate-nucleotide adenylyltransferase activity
GO:0004516	nicotinate phosphoribosyltransferase activity
GO:0004517	nitric-oxide synthase activity
GO:0004518	nuclease activity
GO:0004519	endonuclease activity
GO:0004520	DNA endonuclease activity
GO:0004521	RNA endonuclease activity
GO:0004523	RNA-DNA hybrid ribonuclease activity
GO:0004525	ribonuclease III activity
GO:0004526	ribonuclease P activity
GO:0004527	exonuclease activity
GO:0004534	5'-3' RNA exonuclease activity
GO:0004536	DNA nuclease activity
GO:0004540	RNA nuclease activity
GO:0004550	nucleoside diphosphate kinase activity
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0004556	alpha-amylase activity
GO:0004563	beta-N-acetylhexosaminidase activity
GO:0004568	chitinase activity
GO:0004573	Glc3Man9GlcNAc2 oligosaccharide glucosidase activity
GO:0004575	sucrose alpha-glucosidase activity
GO:0004577	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity
GO:0004582	dolichyl-phosphate beta-D-mannosyltransferase activity
GO:0004585	ornithine carbamoyltransferase activity
GO:0004588	orotate phosphoribosyltransferase activity
GO:0004590	orotidine-5'-phosphate decarboxylase activity
GO:0004592	pantoate-beta-alanine ligase activity
GO:0004595	pantetheine-phosphate adenylyltransferase activity
GO:0004601	peroxidase activity
GO:0004604	phosphoadenylyl-sulfate reductase (thioredoxin) activity
GO:0004605	phosphatidate cytidylyltransferase activity
GO:0004615	phosphomannomutase activity
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
GO:0004617	phosphoglycerate dehydrogenase activity
GO:0004618	phosphoglycerate kinase activity
GO:0004619	phosphoglycerate mutase activity
GO:0004622	phosphatidylcholine lysophospholipase A1 activity
GO:0004630	D-type glycerophospholipase activity
GO:0004632	phosphopantothenate--cysteine ligase activity
GO:0004633	phosphopantothenoylcysteine decarboxylase activity
GO:0004634	phosphopyruvate hydratase activity
GO:0004635	phosphoribosyl-AMP cyclohydrolase activity
GO:0004636	phosphoribosyl-ATP diphosphatase activity
GO:0004637	phosphoribosylamine-glycine ligase activity
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
GO:0004640	phosphoribosylanthranilate isomerase activity
GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity
GO:0004642	phosphoribosylformylglycinamidine synthase activity
GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
GO:0004644	phosphoribosylglycinamide formyltransferase activity
GO:0004654	polyribonucleotide nucleotidyltransferase activity
GO:0004655	porphobilinogen synthase activity
GO:0004657	proline dehydrogenase activity
GO:0004659	prenyltransferase activity
GO:0004664	prephenate dehydratase activity
GO:0004665	prephenate dehydrogenase (NADP+) activity
GO:0004666	prostaglandin-endoperoxide synthase activity
GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
GO:0004672	protein kinase activity
GO:0004673	protein histidine kinase activity
GO:0004674	protein serine/threonine kinase activity
GO:0004712	protein serine/threonine/tyrosine kinase activity
GO:0004713	protein tyrosine kinase activity
GO:0004715	non-membrane spanning protein tyrosine kinase activity
GO:0004721	phosphoprotein phosphatase activity
GO:0004725	protein tyrosine phosphatase activity
GO:0004733	pyridoxamine phosphate oxidase activity
GO:0004735	pyrroline-5-carboxylate reductase activity
GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity
GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity
GO:0004743	pyruvate kinase activity
GO:0004746	riboflavin synthase activity
GO:0004747	ribokinase activity
GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:0004749	ribose phosphate diphosphokinase activity
GO:0004750	D-ribulose-phosphate 3-epimerase activity
GO:0004751	ribose-5-phosphate isomerase activity
GO:0004756	selenide, water dikinase activity
GO:0004760	L-serine:pyruvate transaminase activity
GO:0004764	shikimate 3-dehydrogenase (NADP+) activity
GO:0004765	shikimate kinase activity
GO:0004775	succinate-CoA ligase (ADP-forming) activity
GO:0004776	succinate-CoA ligase (GDP-forming) activity
GO:0004777	succinate-semialdehyde dehydrogenase (NAD+) activity
GO:0004781	sulfate adenylyltransferase (ATP) activity
GO:0004784	superoxide dismutase activity
GO:0004789	thiamine-phosphate diphosphorylase activity
GO:0004791	thioredoxin-disulfide reductase (NADPH) activity
GO:0004792	thiosulfate-cyanide sulfurtransferase activity
GO:0004794	threonine deaminase activity
GO:0004795	threonine synthase activity
GO:0004798	dTMP kinase activity
GO:0004799	thymidylate synthase activity
GO:0004801	transaldolase activity
GO:0004802	transketolase activity
GO:0004803	transposase activity
GO:0004807	triose-phosphate isomerase activity
GO:0004814	arginine-tRNA ligase activity
GO:0004815	aspartate-tRNA ligase activity
GO:0004816	asparagine-tRNA ligase activity
GO:0004817	cysteine-tRNA ligase activity
GO:0004818	glutamate-tRNA ligase activity
GO:0004820	glycine-tRNA ligase activity
GO:0004821	histidine-tRNA ligase activity
GO:0004822	isoleucine-tRNA ligase activity
GO:0004823	leucine-tRNA ligase activity
GO:0004824	lysine-tRNA ligase activity
GO:0004825	methionine-tRNA ligase activity
GO:0004826	phenylalanine-tRNA ligase activity
GO:0004827	proline-tRNA ligase activity
GO:0004828	serine-tRNA ligase activity
GO:0004829	threonine-tRNA ligase activity
GO:0004830	tryptophan-tRNA ligase activity
GO:0004831	tyrosine-tRNA ligase activity
GO:0004832	valine-tRNA ligase activity
GO:0004834	tryptophan synthase activity
GO:0004844	uracil DNA N-glycosylase activity
GO:0004845	uracil phosphoribosyltransferase activity
GO:0004848	ureidoglycolate hydrolase activity
GO:0004850	uridine phosphorylase activity
GO:0004851	uroporphyrin-III C-methyltransferase activity
GO:0004852	uroporphyrinogen-III synthase activity
GO:0004853	uroporphyrinogen decarboxylase activity
GO:0004856	D-xylulokinase activity
GO:0004860	protein kinase inhibitor activity
GO:0004866	endopeptidase inhibitor activity
GO:0004930	G protein-coupled receptor activity
GO:0005047	signal recognition particle binding
GO:0005125	cytokine activity
GO:0005198	structural molecule activity
GO:0005215	transporter activity
GO:0005216	monoatomic ion channel activity
GO:0005247	voltage-gated chloride channel activity
GO:0005249	voltage-gated potassium channel activity
GO:0005253	monoatomic anion channel activity
GO:0005262	calcium channel activity
GO:0005283	amino acid:sodium symporter activity
GO:0005304	L-valine transmembrane transporter activity
GO:0005315	phosphate transmembrane transporter activity
GO:0005344	oxygen carrier activity
GO:0005345	purine nucleobase transmembrane transporter activity
GO:0005385	zinc ion transmembrane transporter activity
GO:0005391	P-type sodium:potassium-exchanging transporter activity
GO:0005488	binding
GO:0005506	iron ion binding
GO:0005507	copper ion binding
GO:0005509	calcium ion binding
GO:0005515	protein binding
GO:0005524	ATP binding
GO:0005525	GTP binding
GO:0005536	D-glucose binding
GO:0005539	glycosaminoglycan binding
GO:0005543	phospholipid binding
GO:0005548	GO:0005548
GO:0005575	cellular_component
GO:0005576	extracellular region
GO:0005615	GO:0005615
GO:0005622	intracellular anatomical structure
GO:0005694	chromosome
GO:0005737	cytoplasm
GO:0005829	cytosol
GO:0005840	ribosome
GO:0005886	plasma membrane
GO:0005945	6-phosphofructokinase complex
GO:0005948	acetolactate synthase complex
GO:0005960	glycine cleavage complex
GO:0005975	carbohydrate metabolic process
GO:0005976	polysaccharide metabolic process
GO:0005977	glycogen metabolic process
GO:0005978	glycogen biosynthetic process
GO:0005980	glycogen catabolic process
GO:0005985	sucrose metabolic process
GO:0005986	sucrose biosynthetic process
GO:0005987	sucrose catabolic process
GO:0005992	trehalose biosynthetic process
GO:0005997	xylulose metabolic process
GO:0005998	xylulose catabolic process
GO:0006000	fructose metabolic process
GO:0006002	fructose 6-phosphate metabolic process
GO:0006006	glucose metabolic process
GO:0006007	glucose catabolic process
GO:0006011	UDP-alpha-D-glucose metabolic process
GO:0006012	galactose metabolic process
GO:0006014	D-ribose metabolic process
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process
GO:0006018	2-deoxyribose 1-phosphate catabolic process
GO:0006020	inositol metabolic process
GO:0006026	aminoglycan catabolic process
GO:0006027	glycosaminoglycan catabolic process
GO:0006030	chitin metabolic process
GO:0006040	amino sugar metabolic process
GO:0006043	D-glucosamine catabolic process
GO:0006046	N-acetylglucosamine catabolic process
GO:0006047	UDP-N-acetylglucosamine metabolic process
GO:0006048	UDP-N-acetylglucosamine biosynthetic process
GO:0006053	N-acetylmannosamine catabolic process
GO:0006065	UDP-glucuronate biosynthetic process
GO:0006071	glycerol metabolic process
GO:0006072	glycerol-3-phosphate metabolic process
GO:0006081	aldehyde metabolic process
GO:0006083	acetate metabolic process
GO:0006085	acetyl-CoA biosynthetic process
GO:0006086	pyruvate decarboxylation to acetyl-CoA
GO:0006089	lactate metabolic process
GO:0006091	generation of precursor metabolites and energy
GO:0006094	gluconeogenesis
GO:0006096	glycolytic process
GO:0006097	glyoxylate cycle
GO:0006098	pentose-phosphate shunt
GO:0006099	tricarboxylic acid cycle
